geometry,building,name,name:en,addr:city,addr:housenumber,addr:postcode,addr:street,phone,website,building:levels,building:use,addr:country,office,addr:housename,alt_name,designation,int_name,old_name,source,wikidata,height,layer,residential,addr:district,wheelchair,amenity,toilets:wheelchair,created_by,landuse,description,note,operator,operator:wikidata,operator:wikipedia,power,ref,start_date,substation,voltage,name:mr,shop,brand,brand:wikidata,brand:wikipedia,tourism,fax,smoking,religion,leisure,name:etymology:wikidata,addr:place,ele,denomination,aeroway,man_made,addr:unit,addr:full,addr:state,name:ur,content,building:material,addr:subdistrict,architect,emergency,healthcare,level,government,opening_hours,sport,guest_house,internet_access,internet_access:fee,healthcare:speciality,not:operator:wikidata,atm,branch,drive_through,short_name,historic,historic:civilization,building:levels:underground,parking,floor,contact:phone,indoor_seating,outdoor_seating,self_service,industrial,amenity_1,nohousenumber,fast_food,alt_name:en,cuisine,diet:local,diet:non-vegetarian,diet:vegetarian,name:hi,roof:material,email,area,wikimedia_commons,ref:colour,building:colour,house,brand:short,operator:short,craft,telecom,brewery,min_age,type,rooms,Latitude,Longitude,Region
POINT (79.114924 21.125858),college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1258579,79.114924,Central
POINT (79.115124 21.126094),college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1260943,79.11512380000002,Central
POINT (79.08424 21.135131),school,Deenanath High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.135130999999998,79.0842405,Central
POINT (79.074596 21.134399),school,Somalwar high school and junior college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1343991,79.0745959,Central
POINT (79.029774 21.115004),yes,Rahi Sabhagruh,Rahi Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115004199999998,79.0297735,West
POINT (79.039231 21.115787),school,Tip Top Convent & High School,,Nagpur,185,440022,"Ring Rd, Nit Lay Out, Trimurti Nagar, Parsodi",099701 95162,tiptopconvent.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.115787400000002,79.0392314,West
POINT (79.063706 21.113353),apartments,Ganesh Gauri Apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1133527,79.0637064,South
POINT (79.063057 21.113653),apartments,Shree Apartment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.113652999999996,79.0630573,South
POINT (79.062676 21.114429),apartments,SBI Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.114429099999995,79.0626756,South
POINT (79.062509 21.115001),apartments,Sai Sudha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1150009,79.0625088,South
POINT (79.078555 21.1414),school,Vidarbha Sahitya Sangh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14139979999999,79.0785551,Central
POINT (79.059482 21.147878),hospital,CIMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1478775,79.0594822,Central
POINT (79.041815 21.160503),school,"Kendriya Vidyalaya, Vayusena Nagar",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.16050329999999,79.0418152,West
POINT (79.037706 21.18132),yes,Jeevan Anand Samajsevi Sanstha,,,,,,,,,office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.181320399999997,79.0377065,West
POINT (79.073991 21.149458),house,M.G. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.149458499999998,79.073991,Central
POINT (79.075757 21.145476),university,"Rashtrasant Tukdoji Maharaj Nagpur University, Nagpur",,Nagpur,,,"Civil Lines, Nagpur, Maharashtra, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.145476399999996,79.0757567,Central
POINT (79.07549 21.145926),university,Convocation Hall & HQ of Rashtrasant Tukadoji Maharaj Nagpur University,,Nagpur,,440001,"Civil Lines Nagpur, Maharashtra",0712 253 2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.145925999999996,79.0754902,Central
POINT (79.07174 21.147879),college,Hislop College,,Nagpur,,440001,"Temple Road, 10, Civil Lines",0712 253 2004,https://hislopcollege.ac.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.147879299999996,79.0717395,Central
POINT (79.067203 21.148651),apartments,"RBI Quarters, Civil Lines",,Nagpur,,,Civil Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1486508,79.0672032,Central
POINT (79.050096 21.156164),school,Bharti Krishna Vidhya Vihar School,,Nagpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1561636,79.0500959,West
POINT (79.05417 21.141043),school,Ram Nagar Bharat Vidyalaya,,Nagpur,,440033,"Hill Rd, Near Ram Nagar Dwara, Ram Nagar",0712 321 7077,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.141043400000004,79.05417000000001,Central
POINT (79.080518 21.161928),yes,IT Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.161928099999994,79.0805185,Central
POINT (79.126726 21.141303),college,Karmveer Dada Saheb Kannamwar College Of Engineering,,Nagpur,,440009,"K.D.K. College Road, Great Nag Rd, Opposite Telephone Exchange, Nandanvan",0712 271 1400,https://www.kdkce.edu.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.141302799999995,79.1267265,East
POINT (79.129596 21.133687),school,Adarsh Sanskar Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.133686799999996,79.1295963,East
