geometry,leisure,name,addr:city,addr:postcode,addr:street,survey:date,created_by,name:etymology:wikidata,operator,description,opening_hours,name:mr,playground,tourism,wikipedia,barrier,dog,ele,official_name,smoking,landuse,name:ur,surface,access,note,addr:district,type,Latitude,Longitude,Region
POINT (79.046496 21.128526),park,Krazy Castle Amusement Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.128525800000002,79.0464959,West
POINT (79.037617 21.113901),park,Joggers Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.11390099999999,79.0376166,West
POINT (79.0363 21.117715),park,NIT Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.117715399999998,79.0363002,West
POINT (79.023958 21.11143),park,Buddha Murti Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.1114302,79.0239585,West
POINT (79.052718 21.10945),park,Ravindra Nagar Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.109449799999997,79.0527176,South
POINT (79.05132 21.108244),park,Walkers Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.1082442,79.0513205,South
POINT (79.053474 21.114005),park,Rotari Bal Udyan,,,,,,,,,,,,,,,,,,,,,,,,,,21.114005199999998,79.0534735,West
POINT (79.068457 21.096161),park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0961608,79.0684567,South
POINT (79.07019 21.11836),park,Dev Nagar Ground,,,,,,,,,,,,,,,,,,,,,,,,,,21.118359499999997,79.0701897,Central
POINT (79.096862 21.124946),park,Medico Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.124945899999997,79.0968623,Central
POINT (79.067397 21.111941),park,Joggers Park,Nagpur,440015,"Sawarkar Nagar, Vivekanand Nagar",,,,,,,,,,,,,,,,,,,,,,,21.111940899999997,79.067397,South
POINT (79.078377 21.106676),park,NIT park Narendra nagar,,,,,,,,,,,,,,,,,,,,,,,,,,21.1066763,79.0783769,South
POINT (79.133528 21.125409),park,NIT Swing Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.125408699999998,79.1335283,East
POINT (79.133424 21.12407),park,Jain Mandir Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.124070099999994,79.1334237,East
POINT (79.102387 21.095509),park,,,,,2019-11-12,,,,,,,,,,,,,,,,,,,,,,21.095509199999995,79.1023871,South
POINT (79.083282 21.166013),park,Mangalwari Park,,,,,,,,,,,,,,,,,,,,,,,,,,21.166012799999997,79.0832822,Central
POINT (79.080706 21.150086),park,Zero mile park,,,,,,,,,,,,,,,,,,,,,,,,,,21.150086099999996,79.0807065,Central
POINT (79.12458 21.183105),park,shivaji park,,,,,,,,,,,,,,,,,,,,,,,,,,21.183105000000005,79.1245803,North
POINT (79.122784 21.160776),park,,,,,,,,,,,,,,,,,,,,,,,,,,,21.160776199999997,79.1227835,Central
POINT (79.052088 21.10204),park,Sahakar Nagar Lake View Garden,,,,,,,,,,,,,,,,,,,,,,,,,,21.102040400000003,79.05208840000002,South
