osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
308770494,primary,True,False,18.171725201644847,,,,,"LINESTRING (79.131147 21.114138, 79.13126 21.114262)",,,,,,21.1142001000079,79.13120354997665,East
503955390,trunk,True,False,27.68601611379774,Umred Road,NH353D,,,"LINESTRING (79.131147 21.114138, 79.13135 21.113976)",,,,,,21.114056600034722,79.13124825005437,East
1388131777,trunk,True,False,10.829406515009902,Amravati Road,NH53,3,,"LINESTRING (79.067658 21.14617, 79.067554 21.146182)",,,,,,21.146175600008096,79.06760630000144,Central
"[27117777, 308766305, 308766287]",secondary,True,False,178.2900516874259,,,,yes,"LINESTRING (79.067658 21.14617, 79.067664 21.145929, 79.067864 21.145008, 79.067895 21.144888, 79.067969 21.144596)",,,,,,21.145379718889544,79.06778889227557,Central
143281425,secondary,True,False,40.971958321044646,,,,,"LINESTRING (79.124489 21.153428, 79.124466 21.15306)",,,,,,21.153243700001212,79.12447749999487,Central
308770484,trunk,True,False,8.771205737871266,Old Bhandara Road,NH53,1,,"LINESTRING (79.124489 21.153428, 79.124407 21.153444)",yes,20,,,,21.153435650005235,79.12444800000183,Central
225644667,tertiary,False,True,178.5574953733079,,,,,"LINESTRING (79.079849 21.171056, 79.080738 21.171041, 79.081146 21.171034, 79.081184 21.171034, 79.081571 21.17103)",,,,,,21.171041718216397,79.08071008536517,Central
1287999546,primary,True,False,151.1811998888454,Koradi Road,NH47,,,"LINESTRING (79.079849 21.171056, 79.079775 21.170741, 79.079723 21.170496, 79.079558 21.169723)",,,,,,21.170389999059747,79.07970116889862,Central
505040437,trunk,True,False,14.159700928708219,Ring Road,SH260,2,,"LINESTRING (79.079643 21.107895, 79.079521 21.107952)",,,,,,21.107923750011903,79.079581950011,South
505040439,secondary,True,False,34.08379675113787,,,,,"LINESTRING (79.079643 21.107895, 79.079491 21.107682, 79.079461 21.10764)",,,,,,21.107767405882583,79.07955204895825,South
27167368,residential,False,False,10.294139381243637,,,,,"LINESTRING (79.083492 21.106557, 79.083512 21.106647)",,,,,,21.106602000000183,79.08350229999748,South
371457587,residential,False,False,60.49941456349112,,,,,"LINESTRING (79.083492 21.106557, 79.08347 21.106494, 79.083312 21.106039)",,,,,,21.106297991504626,79.08340192761602,South
1009783492,trunk,True,False,164.03191487573412,Ring Road,SH260,2,,"LINESTRING (79.083492 21.106557, 79.08265 21.106728, 79.081973 21.106955)",,,,,,21.106733064494293,79.08272559829273,South
143273091,secondary,False,False,47.76658789081341,Hudkeshwar Road,,1,,"LINESTRING (79.119617 21.107553, 79.119755 21.107143)",,40,,,,21.107347900023512,79.11968625010562,South
143273091,secondary,False,True,12.053892593655624,Hudkeshwar Road,,1,,"LINESTRING (79.119617 21.107553, 79.119586 21.107657)",,40,,,,21.107605050001258,79.11960175000613,South
