Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.249512,78.947752,0.1017,0.1099,52,100,0.52,52.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249524,78.948715,0.0859,0.1242,34,100,0.34,34.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249536,78.949679,0.1117,0.09,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249548,78.950642,0.1103,0.0808,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249559,78.951605,0.0916,0.0974,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249571,78.952568,0.1111,0.0686,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249583,78.953531,0.1096,0.0903,76,100,0.76,76.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249594,78.954495,0.0799,0.1405,29,100,0.29,29.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249606,78.955458,0.0834,0.1222,41,100,0.41,41.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249618,78.956421,0.0553,0.1656,16,100,0.16,16.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249629,78.957384,0.0543,0.1847,19,100,0.19,19.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249641,78.958347,0.1038,0.083,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249653,78.959311,0.0544,0.1581,43,100,0.43,43.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249664,78.960274,0.0884,0.1219,62,100,0.62,62.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249676,78.961237,0.1187,0.0854,85,100,0.85,85.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249688,78.9622,0.099,0.1013,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249699,78.963163,0.0752,0.1419,30,100,0.3,30.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249711,78.964127,0.0908,0.0965,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249723,78.96509,0.1083,0.0975,71,100,0.71,71.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249734,78.966053,0.0159,0.2003,30,100,0.3,30.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249746,78.967016,-0.0177,0.2597,23,100,0.23,23.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249757,78.967979,0.0154,0.2122,14,100,0.14,14.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249769,78.968943,-0.076,0.3575,2,100,0.02,2.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249781,78.969906,0.0081,0.2392,13,100,0.13,13.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249792,78.970869,0.071,0.115,56,100,0.56,56.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249804,78.971832,-0.0607,0.306,7,100,0.07,7.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249815,78.972795,0.0573,0.1462,48,100,0.48,48.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249827,78.973759,-0.0354,0.3388,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249839,78.974722,0.0779,0.1411,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24985,78.975685,0.1042,0.1027,66,100,0.66,66.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249862,78.976648,-0.0658,0.3671,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249873,78.977611,-0.0425,0.309,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249885,78.978575,-0.0128,0.2698,10,100,0.1,10.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249896,78.979538,0.0479,0.1893,14,100,0.14,14.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249908,78.980501,0.0751,0.152,31,100,0.31,31.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249919,78.981464,0.0207,0.2136,37,100,0.37,37.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249931,78.982427,0.0943,0.1154,64,100,0.64,64.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249943,78.983391,0.0511,0.1805,14,100,0.14,14.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249954,78.984354,0.0549,0.1943,21,100,0.21,21.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249966,78.985317,0.0155,0.2494,8,100,0.08,8.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249977,78.98628,0.0919,0.0896,63,100,0.63,63.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249989,78.987243,0.0363,0.2165,5,100,0.05,5.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.25,78.988207,0.0177,0.2366,4,100,0.04,4.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.250012,78.98917,0.0288,0.2534,6,100,0.06,6.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.250023,78.990133,0.1082,0.127,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250035,78.991096,0.0979,0.158,72,100,0.72,72.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.250046,78.99206,0.0589,0.1861,34,100,0.34,34.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
