geometry,addr_country,amenity,emergency,healthcare,name,name_etymology_wikidata,healthcare_speciality,addr_city,addr_street,addr_district,addr_full,addr_postcode,addr_state,source,addr_housenumber,phone,website,wikidata,operator,name_en,email,internet_access,opening_hours,survey_date,description,operator_type,addr_subdistrict,contact_phone,time,services,contact_website,building,level,Latitude,Longitude,Region
POINT (79.097469 21.129515),IN,hospital,yes,hospital,Govt. Medical College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1295149,79.0974689,Central
POINT (79.093649 21.154187),,hospital,yes,hospital,Indira Gandhi Medical College & Hospital,Q1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1541868,79.0936492,Central
POINT (79.114161 21.126903),IN,hospital,,hospital,Inpatient Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.126903,79.1141613,Central
POINT (79.113604 21.127343),IN,hospital,,hospital,Outpatient Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.127343,79.1136038,Central
POINT (79.099885 21.133151),,hospital,,hospital,Sanjivani Hospital,,urology,,,,,,,,,,,,,,,,,,,,,,,,,,,21.133151100000003,79.0998847,Central
POINT (79.113873 21.129156),IN,hospital,,hospital,Matoshri Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.129155999999995,79.1138731,Central
POINT (79.107624 21.14386),,hospital,,hospital,Matru Sewa Sangh (Maternity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1438599,79.1076243,Central
POINT (79.102634 21.124178),IN,hospital,yes,hospital,Nagpur Super Speciality Hospital,,,Nagpur,"Behind Medical College, Hanuman Nagar, Hanuman Nagar",,,,,,,,,,,,,,,,,,,,,,,,,21.1241779,79.1026344,Central
POINT (79.104346 21.123908),IN,hospital,,hospital,Rashtrasant Tukdoji Maharaj Cancer Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.123907699999997,79.1043456,Central
POINT (79.10408 21.111552),,hospital,yes,hospital,Asha General Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1115524,79.1040801,South
POINT (79.104088 21.1117),,hospital,,hospital,Apulki Vairagade Hospital,,,,,Nagpur,"Manewada Cement Road, Shirdi Nagar, Opposite Navdurga Mandir",440024.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.111699999999995,79.1040881,South
POINT (79.048592 21.11303),,hospital,,,G. T. Padole Hospital,,,,,Nagpur,"17, Padole Layout, Deendayal Nagar Sq. Parsodi Ring Road",440022.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1130302,79.0485919,West
POINT (79.074581 21.135076),IN,hospital,,hospital,Arneja Heart and Multispeciality Hospital,,cardiology,nagpur,,Nagpur,"123, Ramdaspeth, Behind Sonalwar High School",440010.0,Maharashtra,OpenGovernmentData,123,,,,,,,,,,,,,,,,,,,21.1350759,79.0745814,Central
POINT (79.065402 21.112767),,hospital,,,Orange City Hospital and Research Institute,,,Nagpur,"Orange City Hospital, Khamla Road",Nagpur,"Plot No 19, Pande Lay Out Khamla Road, Ring Road Junction Veersawarkar Square",440015.0,Maharashtra,OpenGovernmentData,,0712 663 4918,https://ochri.com/,,,,,,,,,,,,,,,,,21.1127672,79.0654015,South
POINT (79.066174 21.113918),,hospital,,,Chest Care Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1139182,79.066174,South
POINT (79.064395 21.124363),,hospital,,hospital,Dhruv Pathology & Molecular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.124362800000004,79.0643947,Central
POINT (79.069956 21.180824),,hospital,,,Oasis Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1808237,79.0699559,North
POINT (79.077934 21.145001),IN,hospital,,hospital,Mure Memorial Hospital,,,Nagpur,"Maharaja Road, Civil Lines, Sitabuldi,",Nagpur,Maharajbhag Road Sitabuldi Maharajbhag Road,440001.0,Maharashtra,OpenGovernmentData,,+91 712 252 2370,,,,,,,,,,,,,,,,,,21.1450006,79.0779338,Central
POINT (79.055812 21.141615),IN,hospital,,hospital,Indus Health Care & Checkup Centre,,,Nagpur,"Plot No. 84, Rama Niwas, Hill Road Ramnagar",,,440033.0,,,,099677 80336,https://indushealthplus.com/,,,,,,,,,,,,,,,,,21.1416151,79.0558122,Central
POINT (79.0841 21.120261),,hospital,,,Railway Hospital,,,Nagpur,"Rambagh, Ajni",,,440012.0,,,,,,,,,,,,,,,,,,,,,,21.1202606,79.0841004,Central
POINT (79.07064 21.111581),,hospital,,,Advance Dental Clinic,,,Nagpur,"Residency Road, Sadar, Sadr",,,,,,,,,,,,,,,,,,,,,,,,,21.1115807,79.0706405,South
POINT (79.059412 21.132195),,hospital,,hospital,Narcaood Hospital,,,,"Narcod Physiotherapy Center Plot No 3, Shankar Nagar",,,,,,,,,,,,,,,,,,,,,,,,,21.1321946,79.0594119,Central
POINT (79.065042 21.13641),IN,hospital,,hospital,Wockhardt Super Speciality Hospital,,,Nagpur,"1643, North Ambazari Rd, Shankar Nagar",,,,,,,,,,,,,,,,,,,,,,,,,21.1364104,79.0650417,Central
POINT (79.068042 21.132011),,hospital,,hospital,Dr Baraskar Jaiprakash,,,Nagpur,"Baraskar Hospital, 276 Crystal Plaza, Central Bazar road",,,,,,,,,,,,,,,,,,,,,,,,,21.132011299999995,79.068042,Central
POINT (79.074178 21.134047),IN,hospital,,hospital,Avantika Hospital,,,Nagpur,"Avantika Hospital, Ashirwad Complex, Central Bazar road",Nagpur,34/2 Central Bazar Road Ramdaspeth,440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.134047400000004,79.0741784,Central
POINT (79.07486 21.134257),IN,hospital,,hospital,"Sushrut Hospital, Nagpur",,,Nagpur,"Central Bazar Rd, Near Hotel Center Point, Ramdaspeth",Nagpur,,440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.1342574,79.07486,Central
POINT (79.080249 21.135031),IN,hospital,,hospital,"Evista Eye Care Centre- Dr.sanjay Jaiswal-m.b.b.s., M.s., in [ophthalmology]",,,Nagpur,"Plot.no-14/1 ,Opposite to Dhantoli Park, Dhantoli",Nagpur,Opposite Dhantoli Park,440012.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.135031399999992,79.080249,Central
POINT (79.079603 21.136072),IN,hospital,,hospital,Getwell Hospital and Research Institute,,,Nagpur,"20/1, Wardha Road, Dr. Khare Marg, Near H.P. Petr*",Nagpur,"20/1, Khare Marg Behind Vijayanand Society Dhantoli",440005.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.136072399999996,79.0796029,Central
POINT (79.081313 21.135927),IN,hospital,,hospital,Mulik Hospital,,,,"Balraj Marg, Dhantoli, Opposite Dhantoli Park, Dhantoli",,,,,,,,,,,,,,,,,,,,,,,,,21.1359274,79.08131290000001,Central
POINT (79.079917 21.136975),IN,hospital,,hospital,Ketki Urological Hospital,,,Nagpur,Dhantoli,,,,,,,,,,,,,,,,,,,,,,,,,21.136975,79.079917,Central
POINT (79.079175 21.138544),IN,hospital,,hospital,"Care Hospital, Nagpur",,,,"3 Farmland, Panchsheel Square Ramdaspeth, Wardha Road",Nagpur,"3, Farmland, Panchsheel Square",440010.0,Maharashtra,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,21.138544400000004,79.079175,Central
POINT (79.079953 21.131248),IN,hospital,,hospital,Crescent Hospital & Heart Centre,,,Nagpur,"1st Lane, Near Lokmat Square, Behind Old Mount Canvent",,,,,,,,,,,,,,,,,,,,,,,,,21.1312485,79.0799527,Central
POINT (79.083259 21.133115),IN,hospital,,hospital,Retina Eye Care Hospital,,,Nagpur,"Humpyard Rd, Dhantoli,",,,440032.0,,,,,,,,,,,,,,,,,,,,,,21.1331154,79.0832586,Central
