osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
308770494,primary,True,False,18.171725,,,,,"LINESTRING (79.131147 21.114138, 79.13126 21.114262)",,,,,,21.1142,79.131204,East
503955390,trunk,True,False,27.686016,Umred Road,NH353D,,,"LINESTRING (79.131147 21.114138, 79.13135 21.113976)",,,,,,21.114057,79.131248,East
1388131777,trunk,True,False,10.829407,Amravati Road,NH53,3,,"LINESTRING (79.067658 21.14617, 79.067554 21.146182)",,,,,,21.146176,79.067606,Central
"[27117777, 308766305, 308766287]",secondary,True,False,178.290052,,,,yes,"LINESTRING (79.067658 21.14617, 79.067664 21.145929, 79.067864 21.145008, 79.067895 21.144888, 79.067969 21.144596)",,,,,,21.14538,79.067789,Central
143281425,secondary,True,False,40.971958,,,,,"LINESTRING (79.124489 21.153428, 79.124466 21.15306)",,,,,,21.153244,79.124477,Central
308770484,trunk,True,False,8.771206,Old Bhandara Road,NH53,1,,"LINESTRING (79.124489 21.153428, 79.124407 21.153444)",yes,20.0,,,,21.153436,79.124448,Central
225644667,tertiary,False,True,178.557495,,,,,"LINESTRING (79.079849 21.171056, 79.080738 21.171041, 79.081146 21.171034, 79.081184 21.171034, 79.081571 21.17103)",,,,,,21.171042,79.08071,Central
1287999546,primary,True,False,151.1812,Koradi Road,NH47,,,"LINESTRING (79.079849 21.171056, 79.079775 21.170741, 79.079723 21.170496, 79.079558 21.169723)",,,,,,21.17039,79.079701,Central
505040437,trunk,True,False,14.159701,Ring Road,SH260,2,,"LINESTRING (79.079643 21.107895, 79.079521 21.107952)",,,,,,21.107924,79.079582,South
505040439,secondary,True,False,34.083797,,,,,"LINESTRING (79.079643 21.107895, 79.079491 21.107682, 79.079461 21.10764)",,,,,,21.107767,79.079552,South
27167368,residential,False,False,10.294139,,,,,"LINESTRING (79.083492 21.106557, 79.083512 21.106647)",,,,,,21.106602,79.083502,South
371457587,residential,False,False,60.499415,,,,,"LINESTRING (79.083492 21.106557, 79.08347 21.106494, 79.083312 21.106039)",,,,,,21.106298,79.083402,South
1009783492,trunk,True,False,164.031915,Ring Road,SH260,2,,"LINESTRING (79.083492 21.106557, 79.08265 21.106728, 79.081973 21.106955)",,,,,,21.106733,79.082726,South
143273091,secondary,False,False,47.766588,Hudkeshwar Road,,1,,"LINESTRING (79.119617 21.107553, 79.119755 21.107143)",,40.0,,,,21.107348,79.119686,South
143273091,secondary,False,True,12.053893,Hudkeshwar Road,,1,,"LINESTRING (79.119617 21.107553, 79.119586 21.107657)",,40.0,,,,21.107605,79.119602,South
27113384,trunk,True,False,230.486326,Ring Road,SH260,2,,"LINESTRING (79.119617 21.107553, 79.118984 21.107112, 79.118753 21.107043, 79.118551 21.107007, 79.117569 21.106959)",,,,,,21.107121,79.118644,South
27113384,trunk,True,False,25.542991,Ring Road,SH260,2,,"LINESTRING (79.111673 21.105739, 79.11143 21.105707)",,,,,,21.105723,79.111551,South
371837477,residential,False,False,61.930964,,,,,"LINESTRING (79.111673 21.105739, 79.111667 21.10556, 79.111651 21.105319, 79.111631 21.105184)",,,,,,21.105461,79.111658,South
27113384,trunk,True,False,133.967066,Ring Road,SH260,2,,"LINESTRING (79.112919 21.106057, 79.111673 21.105739)",,,,,,21.105898,79.112296,South
143273073,secondary,True,False,13.106447,,,,,"LINESTRING (79.112919 21.106057, 79.1129 21.106173)",,,,,,21.106115,79.112909,South
503491205,secondary,True,False,12.286841,,,,,"LINESTRING (79.081035 21.147338, 79.08113 21.147404)",,,,,,21.147371,79.081082,Central
240751170,trunk,True,False,111.338645,,NH53;NH47,,,"LINESTRING (79.081035 21.147338, 79.080863 21.147648, 79.080691 21.148061, 79.080626 21.148261)",,,,,,21.147792,79.080812,Central
1021075731,residential,False,True,102.078576,dattaji didodkar marg,,,,"LINESTRING (79.081035 21.147338, 79.080983 21.147321, 79.080906 21.147296, 79.080353 21.147193, 79.080085 21.147106)",,,,,,21.147227,79.080559,Central
1339419974,trunk,True,False,6.352994,,,,,"LINESTRING (79.081757 21.155619, 79.081774 21.155674)",,,,,,21.155646,79.081765,Central
291051886,trunk,True,False,26.259114,Chindwada Road,NH47,2,,"LINESTRING (79.081757 21.155619, 79.081728 21.155631, 79.08153 21.155723)",,,,,,21.15567,79.081644,Central
27113384,trunk,True,False,144.850076,Ring Road,SH260,2,,"LINESTRING (79.127966 21.110634, 79.127698 21.110489, 79.126736 21.110019)",,,,,,21.110322,79.127354,East
93470279,residential,False,False,16.114959,,,,,"LINESTRING (79.051163 21.112656, 79.051153 21.1128)",,,,,,21.112728,79.051158,West
93628502,residential,False,False,99.088044,,,,,"LINESTRING (79.051163 21.112656, 79.050852 21.111813)",,,,,,21.112234,79.051008,West
304334916,primary,True,False,85.266383,Ring Road,SH260,,,"LINESTRING (79.051163 21.112656, 79.050468 21.112508, 79.050364 21.112479)",,,,,,21.11257,79.050763,West
204387279,primary,True,False,30.632456,Ring Road,SH255:SH260,,,"LINESTRING (79.030467 21.121615, 79.030177 21.121564)",,,,,,21.12159,79.030322,West
304334916,primary,True,False,11.186335,Ring Road,SH260,,,"LINESTRING (79.030467 21.121615, 79.030427 21.121708)",,,,,,21.121661,79.030447,West
27211286,secondary,True,False,13.305235,Jaitala Road,,,,"LINESTRING (79.034331 21.117783, 79.034432 21.117857)",,,,,,21.11782,79.034382,West
304334916,primary,True,False,26.123323,Ring Road,SH260,,,"LINESTRING (79.034331 21.117783, 79.03411 21.117896)",,,,,,21.117839,79.034221,West
304334916,primary,True,False,37.965353,Ring Road,SH260,,,"LINESTRING (79.037599 21.116114, 79.037276 21.116276)",,,,,,21.116195,79.037438,West
872948424,residential,False,False,59.655189,,,,,"LINESTRING (79.037599 21.116114, 79.037376 21.115619)",,,,,,21.115867,79.037487,West
872948424,residential,False,True,14.52143,,,,,"LINESTRING (79.037599 21.116114, 79.037644 21.116237)",,,,,,21.116176,79.037621,West
27211296,tertiary,False,True,59.138848,Gajanan Mandir Road,,,,"LINESTRING (79.040769 21.114812, 79.040605 21.114303)",,,,,,21.114557,79.040687,West
1360849391,tertiary,True,False,15.803685,,,,,"LINESTRING (79.040769 21.114812, 79.040772 21.114954)",,,,,,21.114883,79.040771,West
304334916,primary,True,False,359.330357,Ring Road,SH260,,,"LINESTRING (79.040769 21.114812, 79.039174 21.11547, 79.037599 21.116114)",,,,,,21.115464,79.039185,West
27211250,tertiary,False,True,12.995623,Gayatri Nagar Road,,,,"LINESTRING (79.045786 21.113078, 79.045769 21.113194)",,,,,,21.113136,79.045778,West
304334916,primary,True,False,392.578644,Ring Road,SH260,,,"LINESTRING (79.045786 21.113078, 79.042243 21.11432)",,,,,,21.113699,79.044015,West
872948402,tertiary,False,False,63.978022,Nag Mandir Road,,,,"LINESTRING (79.045786 21.113078, 79.045772 21.112852, 79.045672 21.112516)",,,,,,21.112795,79.045745,West
93628513,tertiary,False,False,65.369533,,,,,"LINESTRING (79.048689 21.11264, 79.048652 21.112053)",,,,,,21.112347,79.048671,West
304334916,primary,True,False,206.944482,Ring Road,SH260,,,"LINESTRING (79.048689 21.11264, 79.046712 21.112891)",,,,,,21.112766,79.047701,West
93628513,tertiary,False,True,11.365351,,,,,"LINESTRING (79.048689 21.11264, 79.048694 21.112681, 79.048702 21.112742)",,,,,,21.112691,79.048695,West
27117192,secondary,True,False,12.845054,Cement Road,,,,"LINESTRING (79.056729 21.113655, 79.056735 21.11377)",,,,,,21.113713,79.056732,South
304334916,primary,True,False,221.433214,Ring Road,SH260,,,"LINESTRING (79.056729 21.113655, 79.055203 21.113399, 79.054624 21.113329)",,,,,,21.113482,79.055678,South
262807084,primary,True,False,14.138831,West High Court Road,,2,,"LINESTRING (79.065041 21.112076, 79.065055 21.112203)",,,,,,21.11214,79.065048,South
