geometry,amenity,name,addr_city,addr_housename,addr_postcode,phone,addr_district,addr_street,grades,website,addr_housenumber,designation,note,office,opening_hours,source,name_mr,survey_date,education,building,email,name_etymology_wikidata,architect,school,operator,operator_type,school_language,Latitude,Longitude,Region
POINT (79.081692 21.160801),school,SFS High School & Jr. College,,,,,,,,,,,,,,,,,,,,,,,,,,21.160801200000005,79.0816915,Central
POINT (79.055936 21.127266),school,Nutan Bharat Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,21.127265999999995,79.0559358,Central
POINT (79.112728 21.145521),school,Bhosla Ved School,,,,,,,,,,,,,,,,,,,,,,,,,,21.1455206,79.1127278,Central
POINT (79.057172 21.106815),school,Somalwar Nikalas School,,,,,,,,,,,,,,,,,,,,,,,,,,21.1068151,79.0571718,South
POINT (79.06159 21.127589),school,Bal Mandir Secondary School (Paranjape School),Nagpur,Bajaj Nagar,,,,,,,,,,,,,,,,,,,,,,,,21.1275893,79.0615901,Central
POINT (79.074086 21.208734),school,Podar World School,,,,,,,,,,,,,,,,,,,,,,,,,,21.2087343,79.0740864,North
POINT (79.03835 21.111784),school,Yashoda High School & Jr College,,,,,,,,,,,,,,,,,,,,,,,,,,21.111783899999992,79.0383496,West
POINT (79.104567 21.146791),school,New English High School,,,,,,,,,,,,,,,,,,,,,,,,,,21.1467913,79.1045673,Central
POINT (79.05498 21.153818),school,C P & Berar High School,Nagpu,,440002.0,0712 272 2165,,,,,,,,,,,,,,,,,,,,,,21.1538181,79.0549795,Central
POINT (79.134526 21.131399),school,Bhavan's Bhagwandas Purohit Vidya Mandir,Nagpur,,440001.0,0712 271 4071,Nagpur,"Srikrishna Nagar,",0-12,bvmskn.edu.in,,,,,,,,,,,,,,,,,,21.1313994,79.1345262,East
POINT (79.119913 21.159054),school,Husamiah Boys & Girls High School,Nagpur,,440002.0,0712 273 0121,,"Beside Jamali High School, Shantinagar Colony",,,,,,,,,,,,,,,,,,,,21.1590542,79.1199129,Central
POINT (79.061406 21.143754),school,Atlanta Computer Institute,Nagpur,Shivaji Complex,440010.0,9595321479,,West High Court Road,,,"2nd Floor, Shivaji Complex, Near Coffee House and Bank of Baroda, Opposite Titan Eye, Dharampeth",Computer Training School,"Computer Training Institutes of C, C++, Java, Autocad, Web Designing, Tally, animation etc",educational_institution,08:00-21:00,www.atlantacomputer.in,,,,,,,,,,,,21.1437536,79.0614062,Central
POINT (79.083444 21.142017),school,Saraswati Vidyalaya,,,,,,,,,,,,,,,,,,,,,,,,,,21.142017199999994,79.0834441,Central
POINT (79.107181 21.137814),school,Lokanchi Shala,,,,,,,,,,,,,,,लोकांची शाळा,,,,,,,,,,,21.137814199999998,79.1071808,Central
POINT (79.10995 21.110941),school,Dadasaheb Khadse High School,,,,,,,,,,,,,,,,,,,,,,,,,,21.110941399999994,79.1099502,South
POINT (79.108115 21.115028),school,Shivraj Higher Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,21.1150281,79.1081153,Central
