Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.249512413482535,78.94775227167789,0.1017,0.1099,52,100,0.52,52.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249524137724286,78.94871545859104,0.0859,0.1242,34,100,0.34,34.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249535856470644,78.94967864616325,0.1117,0.09,79,100,0.79,79.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24954756972158,78.95064183439423,0.1103,0.0808,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249559277477093,78.95160502328369,0.0916,0.0974,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249570979737157,78.9525682128313,0.1111,0.0686,99,100,0.99,99.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249582676501753,78.95353140303675,0.1096,0.0903,76,100,0.76,76.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249594367770875,78.95449459389972,0.0799,0.1405,29,100,0.29,29.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.24960605354451,78.95545778541994,0.0834,0.1222,41,100,0.41,41.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249617733822628,78.95642097759708,0.0553,0.1656,16,100,0.16,16.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249629408605223,78.95738417043081,0.0543,0.1847,19,100,0.19,19.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.249641077892285,78.95834736392085,0.1038,0.083,90,100,0.9,90.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249652741683782,78.95931055806687,0.0544,0.1581,43,100,0.43,43.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249664399979714,78.96027375286859,0.0884,0.1219,62,100,0.62,62.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24967605278005,78.96123694832568,0.1187,0.0854,85,100,0.85,85.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24968770008479,78.96220014443782,0.099,0.1013,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249699341893912,78.96316334120473,0.0752,0.1419,30,100,0.3,30.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249710978207403,78.96412653862608,0.0908,0.0965,65,100,0.65,65.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249722609025238,78.96508973670157,0.1083,0.0975,71,100,0.71,71.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.249734234347407,78.96605293543088,0.0159,0.2003,30,100,0.3,30.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.249745854173906,78.96701613481373,-0.0177,0.2597,23,100,0.23,23.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.2497574685047,78.96797933484979,0.0154,0.2122,14,100,0.14,14.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.24976907733978,78.96894253553874,-0.076,0.3575,2,100,0.02,2.0,Low Built-up,2026-06-19,1.0,Sentinel-2
