Latitude,Longitude,NDVI_Mean,Green_Cover_Percent,Green_Cover_Area_m2,Green_Cover_Area_ha,Green_Cover_Class,B04_Red_Mean,B08_NIR_Mean,NDVI_Threshold,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m,Data_Source
21.249496,78.946404,0.169246,0.0,0.0,0.0,No Green Cover,0.242811,0.341957,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249508,78.947367,0.154916,2.0,200.0,0.02,Low Green Cover,0.245576,0.335378,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249519,78.94833,0.149342,4.0,400.0,0.04,Low Green Cover,0.216917,0.296538,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249531,78.949293,0.144777,0.0,0.0,0.0,No Green Cover,0.266222,0.356349,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249543,78.950257,0.164821,11.0,1100.0,0.11,Low Green Cover,0.262047,0.363579,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249555,78.95122,0.146766,10.0,1000.0,0.1,Low Green Cover,0.278848,0.371817,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249566,78.952183,0.138197,7.0,700.0,0.07,Low Green Cover,0.272058,0.357529,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249578,78.953146,0.065875,1.0,100.0,0.01,Low Green Cover,0.32513,0.369584,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.24959,78.954109,0.07719,0.0,0.0,0.0,No Green Cover,0.288917,0.336869,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249601,78.955073,0.102434,0.0,0.0,0.0,No Green Cover,0.292407,0.358261,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249613,78.956036,0.143169,2.0,200.0,0.02,Low Green Cover,0.26213,0.349802,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249625,78.956999,0.123038,1.0,100.0,0.01,Low Green Cover,0.276385,0.352373,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249636,78.957962,0.135217,9.0,900.0,0.09,Low Green Cover,0.26367,0.344691,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249648,78.958925,0.099305,8.0,800.0,0.08,Low Green Cover,0.255673,0.315357,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.24966,78.959888,0.18365,6.0,600.0,0.06,Low Green Cover,0.291915,0.420439,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249671,78.960852,0.115084,5.0,500.0,0.05,Low Green Cover,0.293436,0.369431,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249683,78.961815,0.08026,0.0,0.0,0.0,No Green Cover,0.296913,0.348437,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249695,78.962778,0.053794,0.0,0.0,0.0,No Green Cover,0.303492,0.337696,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249706,78.963741,0.094883,2.0,200.0,0.02,Low Green Cover,0.308186,0.372135,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249718,78.964704,0.102117,0.0,0.0,0.0,No Green Cover,0.32062,0.39218,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.24973,78.965668,0.191308,22.0,2200.0,0.22,Low Green Cover,0.275383,0.40426,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249741,78.966631,0.167152,16.0,1600.0,0.16,Low Green Cover,0.247645,0.351088,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
21.249753,78.967594,0.071968,7.0,700.0,0.07,Low Green Cover,0.279921,0.320963,0.3,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100,Microsoft Planetary Computer Sentinel-2 L2A
