Latitude,Longitude,B02_Blue,B03_Green,B04_Red,B08_NIR,NDVI,NDVI_Class,Satellite,Product,Scene_Date,Cloud_Cover_Percent,Grid_Size_m
21.249496,78.946404,0.175521,0.203031,0.242811,0.341957,0.169246,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249508,78.947367,0.175911,0.204717,0.245576,0.335378,0.154916,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249519,78.94833,0.167733,0.192104,0.216917,0.296538,0.149342,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249531,78.949293,0.18953,0.220334,0.266222,0.356349,0.144777,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249543,78.950257,0.211179,0.238954,0.262047,0.363579,0.164821,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249555,78.95122,0.228931,0.254557,0.278848,0.371817,0.146766,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249566,78.952183,0.223184,0.247663,0.272058,0.357529,0.138197,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249578,78.953146,0.28026,0.300392,0.32513,0.369584,0.065875,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.24959,78.954109,0.246829,0.263978,0.288917,0.336869,0.07719,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249601,78.955073,0.242959,0.265337,0.292407,0.358261,0.102434,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249613,78.956036,0.215903,0.23955,0.26213,0.349802,0.143169,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249625,78.956999,0.232295,0.25644,0.276385,0.352373,0.123038,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249636,78.957962,0.212577,0.239041,0.26367,0.344691,0.135217,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249648,78.958925,0.217278,0.238515,0.255673,0.315357,0.099305,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.24966,78.959888,0.22091,0.258565,0.291915,0.420439,0.18365,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249671,78.960852,0.235757,0.264522,0.293436,0.369431,0.115084,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249683,78.961815,0.247283,0.269206,0.296913,0.348437,0.08026,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249695,78.962778,0.253137,0.274605,0.303492,0.337696,0.053794,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249706,78.963741,0.250374,0.281017,0.308186,0.372135,0.094883,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249718,78.964704,0.237651,0.277807,0.32062,0.39218,0.102117,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.24973,78.965668,0.202283,0.244497,0.275383,0.40426,0.191308,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249741,78.966631,0.197167,0.224927,0.247645,0.351088,0.167152,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249753,78.967594,0.223242,0.244535,0.279921,0.320963,0.071968,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249764,78.968557,0.221509,0.254398,0.27901,0.371003,0.148544,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249776,78.96952,0.174604,0.20164,0.224928,0.319261,0.175168,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249788,78.970484,0.149943,0.171492,0.194212,0.271499,0.167416,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249799,78.971447,0.139854,0.15609,0.168857,0.245904,0.184893,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249811,78.97241,0.146837,0.1567,0.169751,0.213836,0.111781,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249822,78.973373,0.164544,0.177205,0.186234,0.248339,0.140005,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249834,78.974336,0.190038,0.20454,0.215929,0.252758,0.078799,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249846,78.9753,0.201986,0.221681,0.233479,0.28515,0.105921,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249857,78.976263,0.242412,0.265757,0.296413,0.381541,0.128792,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249869,78.977226,0.234352,0.262031,0.27225,0.407966,0.226284,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.24988,78.978189,0.155019,0.186876,0.19476,0.355485,0.292813,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249892,78.979153,0.143266,0.182969,0.182529,0.277776,0.149182,Very Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249903,78.980116,0.142336,0.179488,0.17699,0.381568,0.354876,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
21.249915,78.981079,0.158766,0.188418,0.205343,0.363373,0.281192,Low Vegetation,Sentinel-2,Sentinel-2 L2A,2026-05-12,0.0,100
